Code,Name,Name (Arabic),Phone,Email,Credit Limit,Payment Terms (Days),Opening Balance,Notes
CUST-1213,Desert Rose Interiors 6,,+965 54617220,desert.rose.interiors213@example.com.kw,37310.779,30,301.887,
CUST-1214,AL-ANJARI VILLAS 6,,+965 71396661,alanjari.villas214@example.com.kw,43011.787,90,3380.346,"active account, Rai"
CUST-1215,AL-ROUMI RENOVATION 6,,+965 83881628,alroumi.renovation215@example.com.kw,18765.095,0,6196.481,"active account, Shuwaikh"
CUST-1216,Union Facility Services 6,,+965 87062431,union.facility.services216@example.com.kw,KWD 6167.366,60,474.879,
CUST-1217,Al-Yaqout Villas 6,,+965 78529979,alyaqout.villas217@example.com.kw,16193.791,45,3250.076,
CUST-1218,Al-Qadi Household  Est. 6,,+965 77868716,alqadi.household218@example.com.kw,11362.765,60,5155.509,"active account, Fahaheel"
CUST-1219,Nasser Al-Hajeri  Est. 6,,+965 52804405,nasser.alhajeri219@example.com.kw,34787.332,90,"4,181.892",
CUST-1220, al-ghanim home repairs 6 ,,+965 73978729,alghanim.home.repairs220@example.com.kw,18839.576,90,3463.347,
CUST-1221,Al-Bahar Property Services 6,,+965 98966566,albahar.property.services221@example.com.kw,29644.086,45,KD 1372.282,"active account, Ahmadi"
CUST-1222,"gulf facility management 6,",,+965 81383442,gulf.facility.management222@example.com.kw,"44,908.784",45,0.000,
CUST-1223,Continental Maintenance Co. 6,,+965 75223424,,22408.647,0,15.116,"active account, Salmiya"
CUST-1224,al-zamil villas 6,,+965 93221724,alzamil.villas224@example.com.kw,16426.220,30,"6,897.036",
CUST-1225,Bin Hindi Property 6.,,+965 53346523,bin.hindi.property225@example.com.kw,"31,730.256",30,7184.480,
CUST-1226,AL-WAZZAN MAINTENANCE 6,,+965 67288857,alwazzan.maintenance226@example.com.kw,29514.402,90,0.000,"active account, Hawally"
CUST-1227,Al-Marzouq Home 6,,+965 84112160,almarzouq.home227@example.com.kw,29039.900,15,0.000,"blocked account, Hawally"
CUST-1228,Farwaniya Fix-It Center 6,,+965 81400277,farwaniya.fixit.center228@example.com.kw,KWD 46679.363,0,KWD 0.000,"active account, Rai"
CUST-1229,Salmiya Handyman Services 6,,+965 88420702,salmiya.handyman.services229@example.com.kw,7779.383,45,800.245,"active account, Hawally"
CUST-1230, Hawally Repair Shop 6 ,,+965 57612401,hawally.repair.shop230@example.com.kw,18524.260,90,0.000,"active account, Rai"
CUST-1231,Jahra Building Supplies Buyer  Est. 6,,+965 80135783,jahra.building.supplies.buyer231@example.com.kw,25077.207,60,2653.359,
CUST-1232,ahmadi villa care 6,,+965 88897941,ahmadi.villa.care232@example.com.kw,38706.621,15,"2,761.457","active account, Rai"
CUST-1233,Fahaheel Home Services 6,,+965 60832033,fahaheel.home.services233@example.com.kw,32804.385,45,5352.150,"blocked account, Ahmadi"
CUST-1234, AL-KHALED GENERAL TRADING 6 ,,+965 89676092,alkhaled.general.trading234@example.com.kw,39614.052,45,6551.461,"active account, Shuwaikh"
CUST-1235,Al-Nasser Renovation 6,,+965 67560619,alnasser.renovation235@example.com.kw,KD 37067.294,15,2490.308,
CUST-1236,Al-Osaimi Maintenance 6,,+965 87590605,alosaimi.maintenance236@example.com.kw,41115.151,90,1614.407,
CUST-1237,First Gulf Interiors 6,,+965 52623735,,44782.444,60,1802.275,
CUST-1238,Al-Rashed Villas  Est. 6,,+965 79955284,alrashed.villas238@example.com.kw,44372.007,15,4846.657,
CUST-1239,Al-Sanea Property 6.,,+965 76377944,alsanea.property239@example.com.kw,12758.672,30,0.000,"active account, Rai"
CUST-1240,Al-Fahad Contracting 7,,+965 59100010,,KWD 36385.509,0,6493.720,
CUST-1241,Modern Home Fix-It 7,,+965 92288267,modern.home.fixit241@example.com.kw,12497.648,60,4815.810,"active account, Fahaheel"
CUST-1242,Al-Sabah Villa Services 7,,+965 60246596,alsabah.villa.services242@example.com.kw,40167.601,90,5914.763,
CUST-1243,Bayt Al-Jomard 7,,+965 76654697,,22753.867,15,0.000,"active account, Hawally"
CUST-1244,al-duaij maintenance  est. 7,,+965 87576339,alduaij.maintenance244@example.com.kw,32488.099,0,488.677,"active account, Rai"
CUST-1245,Gulf  Builders 7,,+965 65954435,gulf.builders245@example.com.kw,"5,295.219",0,5257.511,
CUST-1246,Salem Al-Rashidi 7,,+965 53839504,salem.alrashidi246@example.com.kw,2328.626,60,0.000,"active account, Rai"
CUST-1247,Fahad Al-Otaibi  Est. 7,,+965 64088082,fahad.alotaibi247@example.com.kw,6914.141,45,1579.220,"blocked account, Salmiya"
CUST-1248,Al-Mutairi  Est. 7,,+965 62260990,almutairi.est.248@example.com.kw,KD 43340.859,0,0.000,"active account, Farwaniya"
CUST-1249,New Kuwait Contracting 7,,+965 70810900,,KD 1065.508,60,0.000,"active account, Hawally"
CUST-1250,  Al-Ajmi Interiors 7,,+965 91523508,alajmi.interiors250@example.com.kw,33888.481,60,0.000,"active account, Fahaheel"
CUST-1251,Ahmad Al-Kandari 7,,+965 90589787,ahmad.alkandari251@example.com.kw,12234.922,30,KWD 4652.318,
CUST-1252,Al-Enezi General Maintenance 7,,+965 86648294,alenezi.general.maintenance252@example.com.kw,19626.780,60,0.000,"active account, Hawally"
CUST-1253,Desert Rose Interiors 7,,+965 54428505,desert.rose.interiors253@example.com.kw,41215.405,30,3808.962,
CUST-1254,Al-Anjari Villas 7,,+965 97893741,alanjari.villas254@example.com.kw,15391.711,30,1959.371,"active account, Ahmadi"
CUST-1255,Al-Roumi Renovation 7,,+965 51023209,alroumi.renovation255@example.com.kw,19986.995,0,2201.981,"active account, Hawally"
CUST-1256,Union Facility Services  Est. 7,,+965 86312133,union.facility.services256@example.com.kw,38612.023,0,"2,044.886",
CUST-1257,Al-Yaqout Villas  Est. 7,,+965 76651017,alyaqout.villas257@example.com.kw,49139.985,60,7724.716,
CUST-1258,al-qadi household  est. 7,,+965 79024388,alqadi.household258@example.com.kw,"16,159.777",90,0.000,"active account, Ahmadi"
CUST-1259,Nasser Al-Hajeri 7,,+965 79580801,nasser.alhajeri259@example.com.kw,23812.407,90,5252.581,"active account, Hawally"
CUST-1260,Al-Ghanim Home Repairs  Est. 7,,+965 88329155,alghanim.home.repairs260@example.com.kw,"2,086.003",90,4204.419,
CUST-1261,AL-BAHAR PROPERTY SERVICES  EST. 7.,,+965 93206248,albahar.property.services261@example.com.kw,42246.652,45,0.000,"active account, Kuwait City"
CUST-1262,Gulf Facility Management 7,,+965 74035281,gulf.facility.management262@example.com.kw,49561.545,90,3755.460,"active account, Farwaniya"
CUST-1263,Continental Maintenance Co.  Est. 7,,+965 94839586,continental.maintenance.co.263@example.com.kw,3257.772,30,4329.678,"active account, Jahra"
CUST-1264,Al-Zamil Villas 7,,+965 84077239,alzamil.villas264@example.com.kw,1722.737,90,2364.727,"active account, Jahra"
CUST-1265,Bin Hindi Property 7,,+965 61023883,bin.hindi.property265@example.com.kw,44609.766,30,0.000,
CUST-1266,Al-Wazzan Maintenance  Est. 7,,+965 88663404,alwazzan.maintenance266@example.com.kw,8906.899,45,877.072,"active account, Fahaheel"
CUST-1267,AL-MARZOUQ HOME 7,,+965 71299705,almarzouq.home267@example.com.kw,34168.928,45,7267.870,
CUST-1268,FARWANIYA FIX-IT CENTER 7,,+965 82390387,,"2,646.386",15,0.000,"active account, Hawally"
CUST-1269,Salmiya  Handyman Services 7,,+965 78786559,salmiya.handyman.services269@example.com.kw,40055.097,15,0.000,"active account, Jahra"
CUST-1270,Hawally Repair Shop 7,,+965 94508343,hawally.repair.shop270@example.com.kw,9223.066,30,1804.563,"active account, Farwaniya"
CUST-1271,Jahra Building Supplies Buyer  Est. 7,,+965 59374164,jahra.building.supplies.buyer271@example.com.kw,35059.794,0,KWD 7135.194,"active account, Fahaheel"
CUST-1272,Ahmadi Villa Care 7,,+965 60423663,ahmadi.villa.care272@example.com.kw,33560.399,90,KWD 0.000,
CUST-1273,Fahaheel Home Services 7,,+965 78910557,fahaheel.home.services273@example.com.kw,24529.499,90,272.663,"active account, Fahaheel"
CUST-1274,Al-Khaled General Trading 7,,+965 53182636,alkhaled.general.trading274@example.com.kw,27915.721,60,3301.393,
CUST-1275,Al-Nasser Renovation 7,,+965 85345598,,2985.454,30,2357.260,
CUST-1276,Al-Osaimi Maintenance  Est. 7,,+965 76365688,alosaimi.maintenance276@example.com.kw,41788.806,45,"7,331.642","inactive account, Fahaheel"
CUST-1277,First Gulf Interiors  Est. 7,,+965 82927573,first.gulf.interiors277@example.com.kw,KD 26541.616,90,1651.181,"active account, Farwaniya"
CUST-1278,Al-Rashed Villas  Est. 7,,+965 66072884,alrashed.villas278@example.com.kw,KWD 32921.771,0,7335.090,"active account, Farwaniya"
CUST-1279,AL-SANEA PROPERTY  EST. 7,,+965 77117806,,21050.031,60,0.000,"active account, Hawally"
CUST-1280,Al-Fahad Contracting 8,,+965 99150355,alfahad.contracting280@example.com.kw,42934.772,45,KD 0.000,"active account, Ahmadi"
CUST-1281,Modern Home Fix-It  Est. 8,,+965 89619476,modern.home.fixit281@example.com.kw,18667.338,45,0.000,"inactive account, Ardiya"
CUST-1282,Al-Sabah Villa Services 8,,+965 54933637,alsabah.villa.services282@example.com.kw,45351.645,30,1683.146,
CUST-1283,Bayt Al-Jomard  Est. 8,,+965 51192141,bayt.aljomard283@example.com.kw,5862.176,90,KD 6564.605,"active account, Rai"
CUST-1284,Al-Duaij Maintenance  Est. 8,,+965 57116580,alduaij.maintenance284@example.com.kw,28953.942,15,0.000,"active account, Farwaniya"
CUST-1285,Gulf Builders 8,,+965 54691513,gulf.builders285@example.com.kw,17256.219,90,2594.925,
CUST-1286,Salem Al-Rashidi 8,,+965 91114870,,38802.610,45,7176.886,
CUST-1287,Fahad Al-Otaibi 8,,+965 94781813,fahad.alotaibi287@example.com.kw,36084.039,30,363.508,"active account, Ahmadi"
CUST-1288,Al-Mutairi Est. 8,,+965 56551726,,17895.479,0,6314.402,
CUST-1289,New Kuwait Contracting 8.,,+965 66519172,new.kuwait.contracting289@example.com.kw,12295.897,90,0.000,"active account, Shuwaikh"
CUST-1290,Al-Ajmi Interiors 8  ,,+965 51403781,alajmi.interiors290@example.com.kw,20168.003,15,2321.200,"active account, Salmiya"
CUST-1291,Ahmad Al-Kandari 8,,+965 83955077,ahmad.alkandari291@example.com.kw,15832.393,90,KD 6447.840,"active account, Salmiya"
CUST-1292,Al-Enezi General Maintenance  Est. 8,,+965 53122745,alenezi.general.maintenance292@example.com.kw,3554.390,0,2009.209,"active account, Ardiya"
CUST-1293,Desert Rose Interiors 8,,+965 76183156,desert.rose.interiors293@example.com.kw,7875.714,90,KD 7610.080,
CUST-1294,Al-Anjari Villas 8,,+965 50352926,alanjari.villas294@example.com.kw,16533.742,90,513.261,
CUST-1295,Al-Roumi Renovation 8,,+965 76074085,alroumi.renovation295@example.com.kw,7556.594,30,0.000,"active account, Salmiya"
CUST-1296,Union Facility Services 8,,+965 50960563,union.facility.services296@example.com.kw,27175.048,60,2173.756,"active account, Kuwait City"
CUST-1297,Al-Yaqout Villas 8,,+965 60974518,alyaqout.villas297@example.com.kw,2692.477,15,"4,064.221",
CUST-1298,Al-Qadi Household  Est. 8,,+965 99103369,alqadi.household298@example.com.kw,17648.124,60,2829.467,
CUST-1299,Nasser Al-Hajeri 8,,+965 96179643,nasser.alhajeri299@example.com.kw,KD 36897.438,30,0.000,
CUST-1300,Al-Ghanim Home Repairs 8,,+965 98554999,alghanim.home.repairs300@example.com.kw,22816.214,0,0.000,
CUST-1301,Al-Bahar Property Services 8.,,+965 83390653,albahar.property.services301@example.com.kw,15660.921,60,3266.046,"active account, Salmiya"
CUST-1302,Gulf Facility Management 8,,+965 53915738,gulf.facility.management302@example.com.kw,31741.494,45,0.000,"inactive account, Rai"
CUST-1303,Continental Maintenance Co. 8,,+965 60089816,continental.maintenance.co.303@example.com.kw,26922.939,15,7053.971,"active account, Ardiya"
CUST-1304,Al-Zamil Villas 8,,+965 64986879,,6327.161,45,0.000,
CUST-1305,Bin Hindi Property  Est. 8,,+965 84328590,bin.hindi.property305@example.com.kw,16495.421,0,0.000,
CUST-1306, Al-Wazzan Maintenance  Est. 8 ,,+965 91000427,alwazzan.maintenance306@example.com.kw,14298.084,30,0.000,
CUST-1307,Al-Marzouq Home 8,,+965 50021047,almarzouq.home307@example.com.kw,42854.063,90,4956.984,
CUST-1308,Farwaniya Fix-It Center 8,,+965 52095650,farwaniya.fixit.center308@example.com.kw,46723.159,15,1811.898,"active account, Rai"
CUST-1309,Salmiya Handyman Services  Est. 8,,+965 54263960,salmiya.handyman.services309@example.com.kw,"6,388.909",30,7657.719,"active account, Hawally"
CUST-1310,hawally repair shop 8,,+965 82257352,hawally.repair.shop310@example.com.kw,28073.407,60,6123.952,
CUST-1311,Jahra Building Supplies Buyer 8,,+965 65545926,jahra.building.supplies.buyer311@example.com.kw,43660.519,0,4384.850,"active account, Salmiya"
CUST-1312,Ahmadi Villa Care 8,,+965 78541745,ahmadi.villa.care312@example.com.kw,"30,752.648",60,252.489,"active account, Rai"
CUST-1313,Fahaheel Home Services 8,,+965 61159591,fahaheel.home.services313@example.com.kw,39097.031,60,0.000,"active account, Salmiya"
CUST-1314,Al-Khaled General Trading 8.,,+965 62040518,alkhaled.general.trading314@example.com.kw,23983.197,0,0.000,
CUST-1315,Al-Nasser Renovation 8,,+965 66727359,alnasser.renovation315@example.com.kw,"17,830.343",45,0.000,"active account, Fahaheel"
CUST-1316,Al-Osaimi Maintenance 8,,+965 99054188,alosaimi.maintenance316@example.com.kw,42607.440,15,KWD 5838.148,"inactive account, Rai"
CUST-1317,First Gulf Interiors 8,,+965 54012502,first.gulf.interiors317@example.com.kw,32282.056,60,2261.837,
CUST-1318,Al-Rashed Villas 8,,+965 66898190,alrashed.villas318@example.com.kw,4126.049,90,1919.412,"active account, Jahra"
CUST-1319,Al-Sanea Property 8,,+965 77992637,alsanea.property319@example.com.kw,40710.398,30,1015.601,"active account, Ardiya"
CUST-1320,Al-Fahad Contracting 9,,+965 81067469,alfahad.contracting320@example.com.kw,"41,443.178",0,6747.734,"active account, Hawally"
CUST-1321,Modern Home Fix-It 9,,+965 85257827,modern.home.fixit321@example.com.kw,41593.874,30,KD 7926.382,"active account, Fahaheel"
CUST-1322,Al-Sabah Villa Services  Est. 9,,+965 62015475,alsabah.villa.services322@example.com.kw,12370.898,45,"4,861.028","active account, Farwaniya"
CUST-1323,Bayt Al-Jomard  Est. 9,,+965 93734836,bayt.aljomard323@example.com.kw,34171.469,0,0.000,"active account, Rai"
CUST-1324,Al-Duaij Maintenance  Est. 9,,+965 95480998,alduaij.maintenance324@example.com.kw,37852.357,60,0.000,
CUST-1325,Gulf Builders 9,,+965 64674934,gulf.builders325@example.com.kw,27227.929,45,0.000,
CUST-1326,Salem Al-Rashidi 9,,+965 61034980,salem.alrashidi326@example.com.kw,8772.396,90,0.000,
CUST-1327,fahad al-otaibi 9,,+965 65811162,fahad.alotaibi327@example.com.kw,49136.334,60,2411.811,
CUST-1328,Al-Mutairi Est. 9,,+965 73964910,almutairi.est.328@example.com.kw,49281.121,90,5179.106,"active account, Rai"
CUST-1329,New Kuwait Contracting 9,,+965 68758088,new.kuwait.contracting329@example.com.kw,42243.678,30,5478.236,
CUST-1330,Al-Ajmi Interiors  Est. 9  ,,+965 54182768,alajmi.interiors330@example.com.kw,31467.957,30,5337.253,"active account, Fahaheel"
CUST-1331,"ahmad al-kandari  est. 9,",,+965 77691196,ahmad.alkandari331@example.com.kw,36732.940,45,157.945,
CUST-1332,Al-Enezi General Maintenance  Est. 9,,+965 79731506,alenezi.general.maintenance332@example.com.kw,1741.699,90,0.000,
CUST-1333,DESERT ROSE INTERIORS 9,,+965 91229611,desert.rose.interiors333@example.com.kw,30744.287,60,KWD 0.000,"active account, Fahaheel"
CUST-1334,Al-Anjari Villas 9,,+965 82688694,alanjari.villas334@example.com.kw,8741.876,0,0.000,"active account, Ahmadi"
CUST-1335,  Al-Roumi Renovation 9,,+965 98312089,alroumi.renovation335@example.com.kw,KD 47341.730,0,0.000,"active account, Ardiya"
CUST-1336,Union Facility Services  Est. 9  ,,+965 96838509,union.facility.services336@example.com.kw,30536.142,30,0.000,
CUST-1337,Al-Yaqout Villas 9,,+965 73632171,alyaqout.villas337@example.com.kw,47715.152,45,0.000,"active account, Fahaheel"
CUST-1338,Al-Qadi Household 9,,+965 63823051,alqadi.household338@example.com.kw,29667.753,15,0.000,
CUST-1339,Nasser Al-Hajeri  Est. 9,,+965 77930915,nasser.alhajeri339@example.com.kw,42193.286,45,0.000,"active account, Hawally"
CUST-1340,Al-Ghanim Home Repairs 9,,+965 80703469,alghanim.home.repairs340@example.com.kw,8007.066,90,5760.029,"active account, Hawally"
CUST-1341,Al-Bahar Property Services 9,,+965 86304965,albahar.property.services341@example.com.kw,809.045,60,0.000,"active account, Kuwait City"
CUST-1342,Gulf Facility Management  Est. 9,,+965 79217900,gulf.facility.management342@example.com.kw,28124.301,30,4572.840,
CUST-1343,Continental Maintenance Co.  Est. 9,,+965 61818502,continental.maintenance.co.343@example.com.kw,15846.780,45,1209.495,"active account, Fahaheel"
CUST-1344,Al-Zamil Villas  Est. 9,,+965 94540917,alzamil.villas344@example.com.kw,40867.397,0,7205.778,"active account, Salmiya"
CUST-1345,Bin Hindi Property 9,,+965 57450829,bin.hindi.property345@example.com.kw,21337.914,90,1627.621,"active account, Ardiya"
CUST-1346, Al-Wazzan Maintenance 9 ,,+965 75110306,,KWD 41449.685,30,KWD 3589.792,"active account, Shuwaikh"
CUST-1347,Al-Marzouq Home 9,,+965 60996647,almarzouq.home347@example.com.kw,10480.868,90,3215.467,"active account, Ahmadi"
CUST-1348,Farwaniya Fix-It Center 9,,+965 73380199,farwaniya.fixit.center348@example.com.kw,4695.061,45,0.000,
CUST-1349,Salmiya Handyman Services 9,,+965 87755086,salmiya.handyman.services349@example.com.kw,16335.189,60,0.000,"active account, Jahra"
CUST-1350,Hawally Repair Shop 9,,+965 73081909,hawally.repair.shop350@example.com.kw,48170.268,0,"4,366.049","active account, Farwaniya"
CUST-1351,Jahra Building Supplies Buyer 9,,+965 73148558,jahra.building.supplies.buyer351@example.com.kw,40635.235,60,0.000,"active account, Salmiya"
CUST-1352,Ahmadi Villa Care 9,,+965 53004784,ahmadi.villa.care352@example.com.kw,8697.269,30,4231.006,"active account, Hawally"
CUST-1353,Fahaheel Home Services 9,,+965 84652806,fahaheel.home.services353@example.com.kw,"47,248.721",60,"2,365.993","active account, Jahra"
CUST-1354,Al-Khaled General Trading  Est. 9,,+965 84775398,alkhaled.general.trading354@example.com.kw,34443.867,0,6308.293,
CUST-1355,Al-Nasser Renovation 9,,+965 90992047,alnasser.renovation355@example.com.kw,29669.659,60,3132.170,"active account, Shuwaikh"
CUST-1356,Al-Osaimi Maintenance 9  ,,+965 86500155,,803.921,15,3551.530,"active account, Rai"
CUST-1357,First Gulf Interiors 9,,+965 93967132,first.gulf.interiors357@example.com.kw,38210.576,90,6600.530,"active account, Salmiya"
CUST-1358,Al-Rashed Villas 9,,+965 56286356,alrashed.villas358@example.com.kw,KWD 6228.601,30,0.000,"active account, Kuwait City"
CUST-1359,Al-Sanea Property 9,,+965 59487081,alsanea.property359@example.com.kw,43206.112,45,7952.606,"active account, Hawally"
CUST-1360,al-fahad contracting 10,,+965 98618781,alfahad.contracting360@example.com.kw,KWD 12142.631,0,5142.462,
CUST-1361,Modern Home Fix-It 10,,+965 67862622,modern.home.fixit361@example.com.kw,11640.693,60,0.000,"active account, Fahaheel"
CUST-1362,Al-Sabah Villa Services 10,,+965 90474374,alsabah.villa.services362@example.com.kw,43584.867,45,1143.836,
CUST-1363,Bayt  Al-Jomard 10,,+965 90434561,bayt.aljomard363@example.com.kw,15119.199,90,5939.121,"active account, Farwaniya"
CUST-1364,Al-Duaij Maintenance 10,,+965 64406725,alduaij.maintenance364@example.com.kw,13475.629,45,1713.954,"blocked account, Ahmadi"
CUST-1365,Gulf Builders  Est. 10  ,,+965 72688563,gulf.builders365@example.com.kw,KD 31268.600,45,706.077,
CUST-1366,Salem Al-Rashidi 10,,+965 59286185,salem.alrashidi366@example.com.kw,18887.426,60,KWD 7132.491,"active account, Kuwait City"
CUST-1367,Fahad Al-Otaibi 10,,+965 88196164,fahad.alotaibi367@example.com.kw,11423.581,45,5031.334,
CUST-1368,Al-Mutairi Est. 10,,+965 74693254,almutairi.est.368@example.com.kw,35821.858,30,4992.365,"active account, Fahaheel"
CUST-1369,New Kuwait Contracting 10,,+965 62187072,new.kuwait.contracting369@example.com.kw,38633.663,60,6990.319,"active account, Hawally"
CUST-1370,Al-Ajmi Interiors 10,,+965 54356786,alajmi.interiors370@example.com.kw,14217.914,45,"4,214.506","active account, Salmiya"
CUST-1371,Ahmad  Al-Kandari 10,,+965 71344343,ahmad.alkandari371@example.com.kw,"40,192.709",0,118.835,"active account, Farwaniya"
CUST-1372,Al-Enezi General Maintenance  Est. 10,,+965 93707978,alenezi.general.maintenance372@example.com.kw,10807.384,30,6282.124,
CUST-1373,Desert Rose Interiors 10,,+965 74624345,desert.rose.interiors373@example.com.kw,"20,471.879",90,0.000,
CUST-1374,"Al-Anjari Villas  Est. 10,",,+965 79806229,alanjari.villas374@example.com.kw,"27,781.772",60,KWD 1336.320,
CUST-1375,Al-Roumi Renovation 10.,,+965 55244140,alroumi.renovation375@example.com.kw,31582.196,0,7192.088,"active account, Ardiya"
CUST-1376,Union Facility Services 10,,+965 55953422,union.facility.services376@example.com.kw,40829.627,90,596.391,"active account, Ardiya"
CUST-1377,al-yaqout villas 10,,+965 74360452,alyaqout.villas377@example.com.kw,40609.285,0,7508.331,"active account, Fahaheel"
CUST-1378,Al-Qadi Household  Est. 10,,+965 97146992,alqadi.household378@example.com.kw,19916.395,90,1133.518,
CUST-1379,Nasser Al-Hajeri  Est. 10,,+965 56498046,nasser.alhajeri379@example.com.kw,34294.033,60,0.000,"active account, Farwaniya"
CUST-1380,Al-Ghanim Home Repairs 10,,+965 86895933,alghanim.home.repairs380@example.com.kw,"31,968.982",30,KWD 5024.535,
CUST-1381,Al-Bahar Property Services 10,,+965 62851340,albahar.property.services381@example.com.kw,6428.063,30,644.072,
CUST-1382,Gulf Facility Management  Est. 10,,+965 98358293,gulf.facility.management382@example.com.kw,KWD 42833.066,60,6001.741,
CUST-1383,Continental Maintenance Co. 10.,,+965 75267002,continental.maintenance.co.383@example.com.kw,1686.998,0,0.000,"active account, Jahra"
CUST-1384,Al-Zamil Villas 10,,+965 80694972,,KWD 41360.749,15,372.209,"active account, Ardiya"
CUST-1385,BIN HINDI PROPERTY 10,,+965 96719839,,KD 11867.597,0,3440.559,
CUST-1386,Al-Wazzan Maintenance 10,,+965 59740494,alwazzan.maintenance386@example.com.kw,33370.030,60,KD 0.000,
CUST-1387,Al-Marzouq Home 10.,,+965 78097995,almarzouq.home387@example.com.kw,17194.973,60,0.000,
CUST-1388,Farwaniya Fix-It Center 10,,+965 77821072,farwaniya.fixit.center388@example.com.kw,KWD 42852.274,30,KWD 6274.249,
CUST-1389,Salmiya Handyman Services 10,,+965 88705835,,KD 44293.675,60,612.406,
CUST-1390,Hawally Repair Shop 10,,+965 56000864,hawally.repair.shop390@example.com.kw,43674.656,90,0.000,
CUST-1391,Jahra Building Supplies Buyer 10,,+965 90207769,jahra.building.supplies.buyer391@example.com.kw,1320.325,0,0.000,"active account, Kuwait City"
CUST-1392,Ahmadi Villa Care 10,,+965 97913197,ahmadi.villa.care392@example.com.kw,2668.988,15,290.173,"inactive account, Shuwaikh"
CUST-1393,Fahaheel Home Services 10,,+965 93232487,fahaheel.home.services393@example.com.kw,26202.497,30,KD 3038.561,"active account, Farwaniya"
CUST-1394,Al-Khaled General Trading  Est. 10,,+965 90685372,alkhaled.general.trading394@example.com.kw,14563.839,45,0.000,
CUST-1395,AL-NASSER RENOVATION 10,,+965 68707864,alnasser.renovation395@example.com.kw,48001.700,0,797.793,
CUST-1396,Al-Osaimi Maintenance 10  ,,+965 77559687,alosaimi.maintenance396@example.com.kw,26867.202,15,0.000,"active account, Salmiya"
CUST-1397,FIRST GULF INTERIORS  EST. 10  ,,+965 63042347,first.gulf.interiors397@example.com.kw,KWD 32385.919,90,2829.192,
CUST-1398,Al-Rashed Villas 10,,+965 69489037,,30059.440,15,0.000,"active account, Kuwait City"
CUST-1399,Al-Sanea Property 10,,+965 63288918,alsanea.property399@example.com.kw,45582.047,60,2208.122,"active account, Kuwait City"
CUST-1400,Al-Fahad Contracting 11,,+965 74791925,alfahad.contracting400@example.com.kw,28810.799,90,KD 0.000,
CUST-1401,modern home fix-it 11,,+965 51378274,modern.home.fixit401@example.com.kw,44865.669,45,825.229,
CUST-1402,Al-Sabah Villa Services 11,,+965 72661096,alsabah.villa.services402@example.com.kw,41343.715,15,0.000,"inactive account, Salmiya"
CUST-1403,Bayt Al-Jomard 11.,,+965 84536941,bayt.aljomard403@example.com.kw,21668.618,45,810.834,"active account, Jahra"
CUST-1404,Al-Duaij Maintenance 11,,+965 75266569,,46937.460,15,0.000,
CUST-1405,Gulf Builders 11,,+965 75473562,gulf.builders405@example.com.kw,49195.882,30,4200.431,
CUST-1406,Salem  Al-Rashidi 11,,+965 69612106,salem.alrashidi406@example.com.kw,4022.669,15,5143.094,
CUST-1407,Fahad Al-Otaibi 11,,+965 59491288,fahad.alotaibi407@example.com.kw,15469.690,60,0.000,"active account, Shuwaikh"
CUST-1408,Al-Mutairi Est. 11,,+965 73471532,almutairi.est.408@example.com.kw,"35,963.265",60,3178.733,"active account, Salmiya"
CUST-1409,NEW KUWAIT CONTRACTING 11,,+965 71095478,new.kuwait.contracting409@example.com.kw,34883.537,45,3474.438,
CUST-1410,Al-Ajmi Interiors 11,,+965 59435543,alajmi.interiors410@example.com.kw,"44,291.549",15,2786.640,"active account, Kuwait City"
CUST-1411,ahmad al-kandari 11,,+965 57412358,ahmad.alkandari411@example.com.kw,40391.781,60,0.000,"active account, Salmiya"
CUST-1412,"Al-Enezi General Maintenance 11,",,+965 65261831,alenezi.general.maintenance412@example.com.kw,11708.168,60,0.000,
CUST-1413,Desert Rose Interiors  Est. 11,,+965 58384834,desert.rose.interiors413@example.com.kw,45035.071,0,5806.539,"active account, Salmiya"
CUST-1414,Al-Anjari Villas 11,,+965 98680021,alanjari.villas414@example.com.kw,13094.987,30,0.000,
CUST-1415,Al-Roumi Renovation 11,,+965 53122783,alroumi.renovation415@example.com.kw,7299.774,60,KWD 0.000,
CUST-1416,Union Facility Services  Est. 11,,+965 89463442,union.facility.services416@example.com.kw,KD 9572.442,15,494.585,"active account, Farwaniya"
CUST-1417,Al-Yaqout  Villas 11,,+965 87689831,alyaqout.villas417@example.com.kw,"39,504.994",30,0.000,
CUST-1418,Al-Qadi Household 11,,+965 62097080,alqadi.household418@example.com.kw,33918.746,90,1648.190,"active account, Farwaniya"
CUST-1419,Nasser Al-Hajeri 11,,+965 61593617,nasser.alhajeri419@example.com.kw,KWD 11330.157,90,0.000,
CUST-1420,Al-Ghanim Home Repairs 11,,+965 59295793,alghanim.home.repairs420@example.com.kw,KD 20402.320,30,1504.357,"active account, Salmiya"
CUST-1421,Al-Bahar Property Services  Est. 11,,+965 64899849,albahar.property.services421@example.com.kw,25331.886,60,5839.048,"active account, Salmiya"
CUST-1422,Gulf Facility Management 11,,+965 55037279,gulf.facility.management422@example.com.kw,37592.709,45,4133.514,
CUST-1423,Continental Maintenance Co. 11,,+965 62414745,continental.maintenance.co.423@example.com.kw,20506.173,30,0.000,"active account, Jahra"
CUST-1424,al-zamil villas 11,,+965 68019461,alzamil.villas424@example.com.kw,30051.552,45,0.000,"active account, Jahra"
