partyCode,partyName,invoiceNumber,invoiceDate,dueDate,amount
SUP-1041,Al-Rashed W.L.L. 2,BILL-50880,05-06-2026,05-07-2026,254.852
SUP-1079, First Gulf Tools Trading Co. 2 ,BILL-50881,2026-05-31,2026-07-15,3118.358
SUP-9794,Al-Bahar W.L.L.,BILL-50882,2026-07-07,2026-10-05,2459.395
SUP-1050, Kuwait Steel Est. 2 ,BILL-50883,11-01-2026,25-02-2026,243.915
SUP-1064,Al-Sabah Trading W.L.L. 2,BILL-50884,29-10-2025,13-11-2025,1958.588
SUP-1032,Al-Anjari Est.,BILL-50885,08-12-2025,22-01-2026,3120.852
SUP-1011,Al-Fahad General Trading Co. W.L.L.,BILL-50886,2026-06-18,2026-07-18,3010.030
SUP-1018,Al-Wazzan W.L.L.,BILL-50887,01-01-2026,16-01-2026,3128.893
SUP-1067,Continental Hardware Trading Est. 2,BILL-50888,11-04-2026,26-04-2026,1539.344
SUP-1029,Salem Trading Trading Co.,BILL-50889,2026-06-22,2026-08-21,1368.487
SUP-1025,Gulf Safety Supplies Est.,BILL-50890,30-01-2026,30-04-2026,2823.063
SUP-1023,Al-Roumi General Trading Co. W.L.L.,BILL-50891,2026-04-21,2026-05-21,1916.024
SUP-1017,Middle East Tools W.L.L.,BILL-50892,2025-12-03,2026-03-03,1684.353
SUP-1058,Al-Wazzan Est. 2,BILL-50893,20-02-2026,21-04-2026,1824.073
SUP-1037,Kuwait Adhesives W.L.L.,BILL-50894,2026-07-17,2026-08-16,653.251
SUP-1047,Sultan  Center General Trading Co. W.L.L. 2,BILL-50895,14-01-2026,28-02-2026,2344.842
SUP-1044,Al-Zamil Trading Co. 2,BILL-50896,2026-05-14,2026-06-28,2110.592
SUP-1003,Al-Kuwait Building Materials Est.,BILL-50897,2025-11-06,2025-12-06,2352.888
SUP-1024,Al-Sabah Trading Trading Co.,BILL-50898,11-11-2025,09-02-2026,1007.530
SUP-1047,Sultan Center General Trading Co. W.L.L. 2,BILL-50899,09-08-2025,23-09-2025,2707.757
SUP-1066,Al-Ajmi Est. 2,BILL-50900,2026-04-01,2026-06-30,1338.832
SUP-1012,Union Hardware W.L.L.,BILL-50901,13-01-2026,28-01-2026,"1,435.998"
SUP-1036,Al-Enezi Est.,BILL-50902,16-03-2026,15-05-2026,2690.121
SUP-1008,Al-Marzouq Trading Est.,BILL-50903,19-09-2025,04-10-2025,844.555
SUP-1079, First Gulf Tools Trading Co. 2 ,BILL-50904,08-05-2026,22-06-2026,-385.367
SUP-1063,Al-Roumi Trading Co. 2,BILL-50905,2026-07-17,2026-10-15,1781.994
SUP-1061,Kuwait Paint W.L.L. 2,BILL-50906,2026-04-04,2026-05-04,240.966
SUP-1028,Al-Yaqout Trading Co.,BILL-50907,2026-07-21,2026-08-05,2594.839
SUP-1052,Union Hardware W.L.L. 2,BILL-50908,22-04-2026,21-06-2026,2810.429
SUP-1039,First Gulf Tools Est.,BILL-50909,2026-05-22,2026-06-21,1844.665
SUP-1031,Desert Star Hardware W.L.L.,BILL-50910,03-04-2026,18-04-2026,KD 2547.421
SUP-1010,Kuwait Steel W.L.L.,BILL-50911,28-02-2026,29-05-2026,1015.194
SUP-1026,Al-Ajmi General Trading Co. W.L.L.,BILL-50912,26-09-2025,26-10-2025,697.805
SUP-1048,Al-Marzouq Trading Co. 2,BILL-50913,21-04-2026,20-07-2026,KD 1893.448
SUP-1010,Kuwait Steel W.L.L.,BILL-50914,14-02-2026,15-05-2026,2613.101
SUP-1076,AL-ENEZI W.L.L. 2,BILL-50915,15-11-2025,15-12-2025,2985.985
SUP-1068,Al-Yaqout W.L.L. 2,BILL-50916,2026-02-01,2026-03-18,1481.235
SUP-1057,Middle East Tools General Trading Co. W.L.L. 2,BILL-50917,2025-09-21,2025-11-20,3210.346
SUP-9794,Al-Bahar W.L.L.  ,BILL-50918,2025-12-13,2026-03-13,3114.526
SUP-1044,Al-Zamil Trading Co. 2,BILL-50919,16-12-2025,30-01-2026,KWD 3002.041
SUP-1016,Al-Ostath General Trading Co. W.L.L.,BILL-50920,22-11-2025,22-12-2025,1583.731
SUP-1051,Al-Fahad Trading Co. 2,BILL-50921,08-09-2025,08-10-2025,"3,333.421"
SUP-1046,AL-GHANIM W.L.L. 2,BILL-50922,2026-06-26,2026-08-10,1267.096
SUP-1014,Al-Mutawa Trading Est.  ,BILL-50923,2026-06-17,2026-09-15,1569.569
SUP-1012,Union Hardware W.L.L.,BILL-50924,21-05-2026,05-06-2026,2786.145
SUP-1023,AL-ROUMI GENERAL TRADING CO. W.L.L.,BILL-50925,2026-03-03,2026-04-02,2424.841
SUP-1014,Al-Mutawa Trading Est.,BILL-50926,02-03-2026,31-05-2026,"2,225.014"
SUP-1074,Al-Nasser W.L.L. 2,BILL-50927,12-08-2025,11-10-2025,1796.086
SUP-1027,Continental Hardware General Trading Co. W.L.L.,BILL-50928,2025-08-23,2025-10-22,1615.952
SUP-1052,UNION HARDWARE W.L.L. 2,BILL-50929,14-07-2026,12-09-2026,402.594
SUP-1056,Al-Ostath Trading Co. 2,BILL-50930,2026-02-20,2026-04-06,2886.668
SUP-1027,Continental Hardware General Trading Co. W.L.L.,BILL-50931,2026-06-27,2026-08-26,1853.072
SUP-1070,Al-Khaled General Trading Co. W.L.L. 2,BILL-50932,2026-06-28,2026-08-27,2052.079
SUP-1028,Al-Yaqout Trading Co.,BILL-50933,2026-07-31,2026-08-15,2564.558
SUP-1017,Middle East Tools W.L.L.,BILL-50934,2025-09-08,2025-12-07,"1,231.272"
SUP-1020,Al-Duaij Trading Co.,BILL-50935,02-01-2026,02-04-2026,187.819
SUP-1013,Al-Qadi Est.,BILL-50936,2026-05-15,2026-05-30,KWD 1350.381
SUP-1040,Al-Sanea Trading Co. 2,BILL-50937,14-06-2026,29-06-2026,133.644
SUP-1038,Al-Osaimi Trading Co.,BILL-50938,23-09-2025,22-12-2025,"1,824.328"
SUP-1039,First Gulf Tools Est.,BILL-50939,2026-06-14,2026-07-14,3419.781
SUP-1036,al-enezi est.  ,BILL-50940,2026-03-06,2026-05-05,"3,190.383"
SUP-1012,Union Hardware W.L.L.,BILL-50941,25-10-2025,09-11-2025,KWD 1553.331
SUP-1024,Al-Sabah Trading Trading Co.,BILL-50942,2025-10-28,2026-01-26,2112.916
SUP-1020,Al-Duaij  Trading Co.,BILL-50943,2025-08-17,2025-11-15,819.432
SUP-1074,Al-Nasser W.L.L. 2,BILL-50944,2026-01-16,2026-03-17,3234.819
SUP-1000,Al-Sanea W.L.L.,BILL-50945,2026-03-05,2026-05-04,1952.787
SUP-1028,Al-Yaqout Trading Co.,BILL-50946,09-06-2026,24-06-2026,KD 3410.274
SUP-1024,Al-Sabah Trading Trading Co.,BILL-50947,10-07-2026,08-10-2026,2315.742
SUP-1052,Union Hardware W.L.L. 2,BILL-50948,2025-11-26,2026-01-25,3460.700
SUP-1042,Gulf Hardware Trading Est. 2,BILL-50949,2025-09-26,2025-10-11,1962.930
